age,height,weight,meal
10,130,30,"Breakfast: Scrambled eggs (or tofu scramble) with whole-wheat toast and fruit smoothie | Lunch: Vegetarian chili with brown rice and cheese, steamed broccoli florets | Dinner: Baked tofu nuggets with sweet potato fries and steamed green beans."
10,146,35,"Breakfast: Whole-wheat pancakes with ricotta cheese and berries | Lunch: Veggie burger on whole-wheat bun with side salad and chickpeas | Dinner: Lentil soup with whole-wheat bread, veggie stir-fry with brown rice."
13,150,40,"Breakfast: Greek yogurt with granola, berries, and chia seeds | Lunch: Black bean and corn quesadillas with salsa and sliced avocado | Dinner: Vegetarian lasagna with lentil bolognese and whole-wheat noodles, side salad."
13,166,46,"Breakfast: Oatmeal with protein powder, nuts, and sliced banana | Lunch: Chickpea curry with brown rice and roasted vegetables, side salad with quinoa | Dinner: Vegetarian fajitas with tofu, bell peppers, onions, and whole-wheat tortillas."
16,166,50,"Breakfast: Smoothie with protein powder, almond milk, spinach, and banana | Lunch: Black bean chili with brown rice and avocado, side salad with mixed greens | Dinner: Tofu stir-fry with brown rice and assorted vegetables"
16,176,56,"Breakfast: Whole-wheat pancakes with ricotta cheese and berries | Lunch: Vegetarian chili with whole-wheat bread and cheese, steamed broccoli | Dinner: Vegetarian sushi rolls with brown rice, tofu, and avocado."
16,180,60,"Breakfast: Scrambled tofu with vegetables and whole-wheat toast, fruit salad | Lunch: Veggie wrap with hummus, black beans, and roasted vegetables | Dinner: Vegetarian stir-fry with tofu, brown rice, and assorted vegetables"
19,166,55,"Breakfast: Scrambled tofu with spinach and whole-wheat toast, berries with Greek yogurt | Lunch: Chickpea curry with brown rice and roasted vegetables, side salad with quinoa | Dinner: Lentil soup with whole-wheat bread, stir-fried tofu and broccoli."
19,176,66,"Breakfast: Oatmeal with protein powder, nuts, and banana | Lunch: Veggie burger on whole-wheat bun with sweet potato fries, side salad with chickpeas | Dinner: Baked tempeh with roasted Brussels sprouts and quinoa, lentil salad"
22,166,60,"Breakfast: Smoothie with protein powder, almond milk, spinach, and banana | Lunch: Black bean chili with brown rice and avocado, side salad with mixed greens | Dinner: Tofu scramble with bell peppers, onions, and whole-wheat tortillas, grilled vegetables"
22,176,71,"Breakfast: Whole-wheat pancakes with ricotta cheese and berries | Lunch: Vegetarian chili with whole-wheat bread and cheese, steamed broccoli | Dinner: Vegetarian lasagna with lentil bolognese and whole-wheat noodles, side salad"
25,166,65,"Breakfast: Greek yogurt with granola, berries, and pumpkin seeds | Lunch: Lentil pasta salad with roasted vegetables and tofu feta cheese | Dinner: Tofu stir-fry with brown rice and assorted vegetables"
25,176,76,"Breakfast: Cottage cheese with sliced fruit and chopped nuts | Lunch: Black bean and quinoa bowls with roasted sweet potato and salsa	| Dinner: Vegetarian sushi rolls with brown rice, tofu, and avocado"
28,166,65,"Breakfast: Scrambled eggs (or tofu scramble) with whole-wheat toast and fruit salad | Lunch: Vegetarian Buddha bowl with brown rice, roasted vegetables, chickpeas, and tahini dressing | Dinner: Baked tofu with quinoa and roasted asparagus"
28,176,70,"Breakfast: Oatmeal with protein powder, berries, and chia seeds | Lunch: Black bean burgers on whole-wheat buns with sweet potato wedges and grilled vegetables | Dinner: Vegetarian enchiladas with lentil filling and whole-wheat tortillas, side salad"